Inference - 2020-08-03 21:27:23
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_GOPRO.pt
data_path: ../dataset/GOPRO/test
result_path: ../infer_results/GOPRO
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_GOPRO.pt
> GOPR0384_11_00-000092 PSNR=34.19, SSIM=0.9537 pre_time:0.232s, forward_time:2.13s, post_time:1.17s, total_time:3.54s
> GOPR0384_11_00-000093 PSNR=33.345, SSIM=0.954 pre_time:0.233s, forward_time:2.14s, post_time:1.17s, total_time:3.54s
> GOPR0384_11_00-000094 PSNR=34.765, SSIM=0.96 pre_time:0.231s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_00-000095 PSNR=33.609, SSIM=0.9508 pre_time:0.23s, forward_time:2.05s, post_time:1.18s, total_time:3.46s
> GOPR0384_11_00-000096 PSNR=34.992, SSIM=0.9603 pre_time:0.236s, forward_time:2.12s, post_time:1.19s, total_time:3.54s
> GOPR0384_11_00-000097 PSNR=34.55, SSIM=0.9567 pre_time:0.232s, forward_time:2.12s, post_time:1.19s, total_time:3.54s
> GOPR0384_11_00-000098 PSNR=35.257, SSIM=0.962 pre_time:0.236s, forward_time:2.07s, post_time:1.19s, total_time:3.49s
> GOPR0384_11_05-004003 PSNR=28.838, SSIM=0.9205 pre_time:0.229s, forward_time:2.13s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_05-004004 PSNR=30.627, SSIM=0.9307 pre_time:0.23s, forward_time:2.13s, post_time:1.17s, total_time:3.54s
> GOPR0384_11_05-004005 PSNR=31.267, SSIM=0.9372 pre_time:0.226s, forward_time:2.06s, post_time:1.18s, total_time:3.47s
> GOPR0384_11_05-004006 PSNR=31.016, SSIM=0.9403 pre_time:0.227s, forward_time:2.09s, post_time:1.18s, total_time:3.51s
> GOPR0384_11_05-004007 PSNR=31.087, SSIM=0.9472 pre_time:0.226s, forward_time:2.1s, post_time:1.17s, total_time:3.49s
> GOPR0384_11_05-004008 PSNR=34.024, SSIM=0.9596 pre_time:0.228s, forward_time:2.13s, post_time:1.18s, total_time:3.53s
> GOPR0384_11_05-004009 PSNR=33.53, SSIM=0.9591 pre_time:0.228s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_05-004010 PSNR=34.269, SSIM=0.9595 pre_time:0.226s, forward_time:2.14s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_05-004011 PSNR=34.099, SSIM=0.9577 pre_time:0.228s, forward_time:2.05s, post_time:1.17s, total_time:3.45s
> GOPR0384_11_05-004012 PSNR=34.267, SSIM=0.9604 pre_time:0.227s, forward_time:2.13s, post_time:1.19s, total_time:3.54s
> GOPR0384_11_05-004013 PSNR=35.262, SSIM=0.9646 pre_time:0.227s, forward_time:2.09s, post_time:1.18s, total_time:3.49s
> GOPR0384_11_05-004014 PSNR=34.413, SSIM=0.9625 pre_time:0.226s, forward_time:2.04s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_05-004015 PSNR=34.466, SSIM=0.9598 pre_time:0.226s, forward_time:2.11s, post_time:1.18s, total_time:3.51s
> GOPR0384_11_05-004016 PSNR=35.201, SSIM=0.9643 pre_time:0.227s, forward_time:2.12s, post_time:1.17s, total_time:3.52s
> GOPR0384_11_05-004017 PSNR=34.594, SSIM=0.961 pre_time:0.228s, forward_time:2.14s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004018 PSNR=34.514, SSIM=0.9616 pre_time:0.229s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_05-004019 PSNR=33.978, SSIM=0.9608 pre_time:0.226s, forward_time:2.1s, post_time:1.18s, total_time:3.5s
> GOPR0384_11_05-004020 PSNR=34.396, SSIM=0.9605 pre_time:0.226s, forward_time:2.09s, post_time:1.19s, total_time:3.51s
> GOPR0384_11_05-004021 PSNR=33.918, SSIM=0.9598 pre_time:0.228s, forward_time:2.1s, post_time:1.19s, total_time:3.52s
> GOPR0384_11_05-004022 PSNR=34.575, SSIM=0.9605 pre_time:0.225s, forward_time:2.05s, post_time:1.18s, total_time:3.46s
> GOPR0384_11_05-004023 PSNR=33.746, SSIM=0.9541 pre_time:0.23s, forward_time:2.14s, post_time:1.18s, total_time:3.55s
> GOPR0384_11_05-004024 PSNR=33.153, SSIM=0.9542 pre_time:0.228s, forward_time:2.14s, post_time:1.18s, total_time:3.55s
> GOPR0384_11_05-004025 PSNR=33.808, SSIM=0.9555 pre_time:0.233s, forward_time:2.14s, post_time:1.18s, total_time:3.55s
> GOPR0384_11_05-004026 PSNR=33.532, SSIM=0.9545 pre_time:0.226s, forward_time:2.05s, post_time:1.18s, total_time:3.45s
> GOPR0384_11_05-004027 PSNR=33.678, SSIM=0.9557 pre_time:0.231s, forward_time:2.13s, post_time:1.19s, total_time:3.54s
> GOPR0384_11_05-004028 PSNR=34.28, SSIM=0.9622 pre_time:0.23s, forward_time:2.14s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004029 PSNR=33.836, SSIM=0.9588 pre_time:0.228s, forward_time:2.15s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004030 PSNR=33.235, SSIM=0.9536 pre_time:0.228s, forward_time:2.06s, post_time:1.18s, total_time:3.47s
> GOPR0384_11_05-004031 PSNR=33.131, SSIM=0.9564 pre_time:0.232s, forward_time:2.13s, post_time:1.18s, total_time:3.55s
> GOPR0384_11_05-004032 PSNR=33.693, SSIM=0.9567 pre_time:0.227s, forward_time:2.13s, post_time:1.2s, total_time:3.56s
> GOPR0384_11_05-004033 PSNR=33.504, SSIM=0.9554 pre_time:0.228s, forward_time:2.15s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004034 PSNR=33.966, SSIM=0.9554 pre_time:0.228s, forward_time:2.05s, post_time:1.19s, total_time:3.46s
