Inference - 2020-08-05 10:46:56
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
data_path: ../dataset/DVD/test
result_path: ../infer_results/DVD
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
> 720p_240fps_2-00063 PSNR=31.893, SSIM=0.9086 pre_time:0.13s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> 720p_240fps_2-00064 PSNR=31.776, SSIM=0.9101 pre_time:0.13s, forward_time:2.12s, post_time:1.18s, total_time:3.43s
> 720p_240fps_2-00065 PSNR=32.82, SSIM=0.9238 pre_time:0.13s, forward_time:2.14s, post_time:1.18s, total_time:3.45s
> 720p_240fps_2-00066 PSNR=30.769, SSIM=0.9093 pre_time:0.128s, forward_time:2.04s, post_time:1.17s, total_time:3.34s
> 720p_240fps_2-00067 PSNR=32.695, SSIM=0.9272 pre_time:0.131s, forward_time:2.13s, post_time:1.18s, total_time:3.45s
> 720p_240fps_2-00068 PSNR=32.564, SSIM=0.922 pre_time:0.129s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00069 PSNR=31.812, SSIM=0.908 pre_time:0.137s, forward_time:2.06s, post_time:1.19s, total_time:3.39s
> 720p_240fps_2-00070 PSNR=26.995, SSIM=0.7941 pre_time:0.136s, forward_time:2.13s, post_time:1.19s, total_time:3.46s
> 720p_240fps_2-00071 PSNR=26.545, SSIM=0.7627 pre_time:0.127s, forward_time:2.04s, post_time:1.19s, total_time:3.36s
> 720p_240fps_2-00072 PSNR=27.961, SSIM=0.8131 pre_time:0.128s, forward_time:2.14s, post_time:1.2s, total_time:3.47s
> 720p_240fps_2-00073 PSNR=29.327, SSIM=0.8451 pre_time:0.13s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> 720p_240fps_2-00074 PSNR=29.986, SSIM=0.8607 pre_time:0.135s, forward_time:2.04s, post_time:1.19s, total_time:3.37s
> 720p_240fps_2-00075 PSNR=30.428, SSIM=0.8689 pre_time:0.134s, forward_time:2.13s, post_time:1.17s, total_time:3.43s
> 720p_240fps_2-00076 PSNR=28.893, SSIM=0.8472 pre_time:0.126s, forward_time:2.04s, post_time:1.2s, total_time:3.37s
> 720p_240fps_2-00077 PSNR=30.977, SSIM=0.8819 pre_time:0.128s, forward_time:2.14s, post_time:1.17s, total_time:3.44s
> 720p_240fps_2-00078 PSNR=30.939, SSIM=0.8856 pre_time:0.139s, forward_time:2.13s, post_time:1.17s, total_time:3.44s
> 720p_240fps_2-00079 PSNR=29.418, SSIM=0.8692 pre_time:0.138s, forward_time:2.04s, post_time:1.17s, total_time:3.35s
> 720p_240fps_2-00080 PSNR=32.003, SSIM=0.9076 pre_time:0.125s, forward_time:2.13s, post_time:1.16s, total_time:3.41s
> 720p_240fps_2-00081 PSNR=30.335, SSIM=0.8855 pre_time:0.123s, forward_time:2.04s, post_time:1.19s, total_time:3.36s
> 720p_240fps_2-00082 PSNR=31.201, SSIM=0.8962 pre_time:0.125s, forward_time:2.04s, post_time:1.19s, total_time:3.36s
> 720p_240fps_2-00083 PSNR=31.891, SSIM=0.9112 pre_time:0.125s, forward_time:2.12s, post_time:1.18s, total_time:3.42s
> 720p_240fps_2-00084 PSNR=32.31, SSIM=0.92 pre_time:0.124s, forward_time:2.13s, post_time:1.18s, total_time:3.44s
> 720p_240fps_2-00085 PSNR=30.824, SSIM=0.9048 pre_time:0.138s, forward_time:2.06s, post_time:1.18s, total_time:3.38s
> 720p_240fps_2-00086 PSNR=32.164, SSIM=0.9198 pre_time:0.123s, forward_time:2.07s, post_time:1.18s, total_time:3.37s
> 720p_240fps_2-00087 PSNR=30.513, SSIM=0.8944 pre_time:0.125s, forward_time:2.05s, post_time:1.18s, total_time:3.36s
> 720p_240fps_2-00088 PSNR=29.945, SSIM=0.8802 pre_time:0.125s, forward_time:2.14s, post_time:1.2s, total_time:3.46s
> 720p_240fps_2-00089 PSNR=33.531, SSIM=0.9274 pre_time:0.125s, forward_time:2.03s, post_time:1.19s, total_time:3.35s
> 720p_240fps_2-00090 PSNR=33.34, SSIM=0.9286 pre_time:0.125s, forward_time:2.05s, post_time:1.22s, total_time:3.4s
> 720p_240fps_2-00091 PSNR=29.474, SSIM=0.8772 pre_time:0.14s, forward_time:2.13s, post_time:1.2s, total_time:3.47s
> 720p_240fps_2-00092 PSNR=31.682, SSIM=0.9075 pre_time:0.124s, forward_time:2.07s, post_time:1.19s, total_time:3.38s
> 720p_240fps_2-00093 PSNR=33.065, SSIM=0.9271 pre_time:0.128s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> 720p_240fps_2-00094 PSNR=34.195, SSIM=0.9405 pre_time:0.107s, forward_time:2.14s, post_time:1.18s, total_time:3.43s
> 720p_240fps_2-00095 PSNR=34.055, SSIM=0.9361 pre_time:0.13s, forward_time:2.12s, post_time:1.19s, total_time:3.44s
> 720p_240fps_2-00096 PSNR=33.489, SSIM=0.9277 pre_time:0.124s, forward_time:2.05s, post_time:1.18s, total_time:3.36s
> 720p_240fps_2-00097 PSNR=32.122, SSIM=0.917 pre_time:0.127s, forward_time:2.14s, post_time:1.17s, total_time:3.43s
> IMG_0003-00002 PSNR=27.235, SSIM=0.8807 pre_time:0.135s, forward_time:2.11s, post_time:1.19s, total_time:3.44s
> IMG_0003-00003 PSNR=26.089, SSIM=0.8517 pre_time:0.132s, forward_time:2.07s, post_time:1.19s, total_time:3.38s
> IMG_0003-00004 PSNR=25.119, SSIM=0.8268 pre_time:0.139s, forward_time:2.13s, post_time:1.18s, total_time:3.45s
> IMG_0003-00005 PSNR=24.835, SSIM=0.8223 pre_time:0.13s, forward_time:2.04s, post_time:1.23s, total_time:3.4s
> IMG_0003-00006 PSNR=24.941, SSIM=0.8287 pre_time:0.13s, forward_time:2.14s, post_time:1.19s, total_time:3.45s
> IMG_0003-00007 PSNR=25.637, SSIM=0.8502 pre_time:0.129s, forward_time:2.14s, post_time:1.2s, total_time:3.47s
> IMG_0003-00008 PSNR=26.264, SSIM=0.8638 pre_time:0.13s, forward_time:2.05s, post_time:1.18s, total_time:3.36s
> IMG_0003-00009 PSNR=26.832, SSIM=0.8758 pre_time:0.138s, forward_time:2.04s, post_time:1.19s, total_time:3.37s
> IMG_0003-00010 PSNR=27.811, SSIM=0.8961 pre_time:0.131s, forward_time:2.14s, post_time:1.18s, total_time:3.45s
> IMG_0003-00011 PSNR=28.124, SSIM=0.9 pre_time:0.131s, forward_time:2.11s, post_time:1.18s, total_time:3.42s
> IMG_0003-00012 PSNR=27.729, SSIM=0.8905 pre_time:0.13s, forward_time:2.04s, post_time:1.18s, total_time:3.34s
> IMG_0003-00013 PSNR=27.901, SSIM=0.8935 pre_time:0.13s, forward_time:2.14s, post_time:1.19s, total_time:3.46s
> IMG_0003-00014 PSNR=27.643, SSIM=0.8878 pre_time:0.131s, forward_time:2.12s, post_time:1.18s, total_time:3.43s
> IMG_0003-00015 PSNR=27.761, SSIM=0.8895 pre_time:0.133s, forward_time:2.12s, post_time:1.19s, total_time:3.44s
> IMG_0003-00016 PSNR=28.512, SSIM=0.9041 pre_time:0.129s, forward_time:2.06s, post_time:1.17s, total_time:3.36s
> IMG_0003-00017 PSNR=28.883, SSIM=0.911 pre_time:0.129s, forward_time:2.12s, post_time:1.19s, total_time:3.45s
> IMG_0003-00018 PSNR=28.304, SSIM=0.9021 pre_time:0.131s, forward_time:2.05s, post_time:1.2s, total_time:3.38s
> IMG_0003-00019 PSNR=28.513, SSIM=0.9051 pre_time:0.131s, forward_time:2.14s, post_time:1.2s, total_time:3.47s
> IMG_0003-00020 PSNR=28.121, SSIM=0.8959 pre_time:0.138s, forward_time:2.06s, post_time:1.2s, total_time:3.39s
> IMG_0003-00021 PSNR=27.936, SSIM=0.8897 pre_time:0.131s, forward_time:2.06s, post_time:1.18s, total_time:3.37s
> IMG_0003-00022 PSNR=27.926, SSIM=0.8879 pre_time:0.131s, forward_time:2.14s, post_time:1.18s, total_time:3.46s
> IMG_0003-00023 PSNR=28.187, SSIM=0.8954 pre_time:0.149s, forward_time:2.14s, post_time:1.2s, total_time:3.49s
> IMG_0003-00024 PSNR=28.695, SSIM=0.9057 pre_time:0.132s, forward_time:2.14s, post_time:1.19s, total_time:3.46s
> IMG_0003-00025 PSNR=28.176, SSIM=0.8993 pre_time:0.132s, forward_time:2.13s, post_time:1.18s, total_time:3.44s
> IMG_0003-00026 PSNR=28.382, SSIM=0.9026 pre_time:0.131s, forward_time:2.12s, post_time:1.19s, total_time:3.44s
> IMG_0003-00027 PSNR=28.871, SSIM=0.9104 pre_time:0.13s, forward_time:2.1s, post_time:1.18s, total_time:3.41s
> IMG_0003-00028 PSNR=28.518, SSIM=0.9061 pre_time:0.131s, forward_time:2.14s, post_time:1.2s, total_time:3.47s
> IMG_0003-00029 PSNR=28.016, SSIM=0.8941 pre_time:0.134s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> IMG_0003-00030 PSNR=27.668, SSIM=0.8828 pre_time:0.128s, forward_time:2.13s, post_time:1.19s, total_time:3.44s
> IMG_0003-00031 PSNR=27.297, SSIM=0.8721 pre_time:0.141s, forward_time:2.07s, post_time:1.18s, total_time:3.39s
> IMG_0003-00032 PSNR=26.869, SSIM=0.861 pre_time:0.129s, forward_time:2.1s, post_time:1.19s, total_time:3.43s
> IMG_0003-00033 PSNR=26.84, SSIM=0.8596 pre_time:0.13s, forward_time:2.13s, post_time:1.18s, total_time:3.44s
> IMG_0003-00034 PSNR=26.747, SSIM=0.8608 pre_time:0.13s, forward_time:2.05s, post_time:1.17s, total_time:3.35s
> IMG_0003-00035 PSNR=26.823, SSIM=0.8619 pre_time:0.143s, forward_time:2.05s, post_time:1.18s, total_time:3.37s
> IMG_0003-00036 PSNR=26.587, SSIM=0.8597 pre_time:0.13s, forward_time:2.07s, post_time:1.18s, total_time:3.38s
> IMG_0003-00037 PSNR=25.166, SSIM=0.8236 pre_time:0.129s, forward_time:2.06s, post_time:1.2s, total_time:3.39s
> IMG_0003-00038 PSNR=25.026, SSIM=0.8186 pre_time:0.131s, forward_time:2.09s, post_time:1.18s, total_time:3.4s
> IMG_0003-00039 PSNR=25.606, SSIM=0.847 pre_time:0.129s, forward_time:2.05s, post_time:1.18s, total_time:3.36s
> IMG_0003-00040 PSNR=27.892, SSIM=0.8976 pre_time:0.133s, forward_time:2.07s, post_time:1.18s, total_time:3.38s
