Inference - 2021-07-10 01:06:46
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_S7
n_seq: 7
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
> 720p_240fps_2-00072 PSNR=27.988, SSIM=0.8127 pre_time:0.466s, forward_time:5.07s, post_time:2.27s, total_time:7.8s
> 720p_240fps_2-00073 PSNR=29.211, SSIM=0.8402 pre_time:0.383s, forward_time:5.13s, post_time:2.26s, total_time:7.77s
> 720p_240fps_2-00074 PSNR=29.419, SSIM=0.8459 pre_time:0.417s, forward_time:5.15s, post_time:2.23s, total_time:7.79s
> 720p_240fps_2-00075 PSNR=29.812, SSIM=0.8539 pre_time:0.458s, forward_time:5.06s, post_time:2.26s, total_time:7.78s
> 720p_240fps_2-00076 PSNR=28.432, SSIM=0.8367 pre_time:0.419s, forward_time:5.08s, post_time:2.24s, total_time:7.74s
> 720p_240fps_2-00077 PSNR=30.59, SSIM=0.8767 pre_time:0.594s, forward_time:5.04s, post_time:2.31s, total_time:7.94s
> 720p_240fps_2-00078 PSNR=30.967, SSIM=0.8883 pre_time:0.401s, forward_time:5.09s, post_time:2.31s, total_time:7.81s
> 720p_240fps_2-00079 PSNR=29.044, SSIM=0.8625 pre_time:0.469s, forward_time:5.08s, post_time:2.28s, total_time:7.83s
> 720p_240fps_2-00080 PSNR=31.987, SSIM=0.908 pre_time:0.493s, forward_time:5.1s, post_time:2.28s, total_time:7.87s
> 720p_240fps_2-00081 PSNR=30.302, SSIM=0.8849 pre_time:0.44s, forward_time:5.11s, post_time:2.23s, total_time:7.79s
> 720p_240fps_2-00082 PSNR=31.036, SSIM=0.8952 pre_time:0.469s, forward_time:5.08s, post_time:2.32s, total_time:7.87s
> 720p_240fps_2-00083 PSNR=31.938, SSIM=0.9127 pre_time:0.464s, forward_time:5.11s, post_time:2.25s, total_time:7.83s
> 720p_240fps_2-00084 PSNR=32.324, SSIM=0.9203 pre_time:0.432s, forward_time:5.07s, post_time:2.38s, total_time:7.89s
> 720p_240fps_2-00085 PSNR=30.598, SSIM=0.9042 pre_time:0.47s, forward_time:5.11s, post_time:2.33s, total_time:7.9s
> 720p_240fps_2-00086 PSNR=32.197, SSIM=0.9208 pre_time:0.448s, forward_time:5.12s, post_time:2.29s, total_time:7.86s
> 720p_240fps_2-00087 PSNR=30.516, SSIM=0.8955 pre_time:0.417s, forward_time:5.04s, post_time:2.35s, total_time:7.81s
> 720p_240fps_2-00088 PSNR=29.804, SSIM=0.8813 pre_time:0.484s, forward_time:5.06s, post_time:2.25s, total_time:7.79s
> 720p_240fps_2-00089 PSNR=33.301, SSIM=0.9244 pre_time:0.404s, forward_time:5.1s, post_time:2.26s, total_time:7.76s
> 720p_240fps_2-00090 PSNR=33.098, SSIM=0.9267 pre_time:0.43s, forward_time:5.08s, post_time:2.18s, total_time:7.69s
> 720p_240fps_2-00091 PSNR=28.596, SSIM=0.8642 pre_time:0.466s, forward_time:5.06s, post_time:2.17s, total_time:7.7s
> 720p_240fps_2-00092 PSNR=31.446, SSIM=0.9077 pre_time:0.419s, forward_time:5.12s, post_time:2.23s, total_time:7.78s
> 720p_240fps_2-00093 PSNR=32.927, SSIM=0.9266 pre_time:1.02s, forward_time:5.12s, post_time:2.42s, total_time:8.56s
> 720p_240fps_2-00094 PSNR=33.796, SSIM=0.9384 pre_time:0.457s, forward_time:5.09s, post_time:2.3s, total_time:7.85s
> 720p_240fps_2-00095 PSNR=33.896, SSIM=0.9354 pre_time:0.434s, forward_time:5.18s, post_time:2.3s, total_time:7.92s
> 720p_240fps_2-00096 PSNR=33.137, SSIM=0.9262 pre_time:0.436s, forward_time:5.13s, post_time:2.37s, total_time:7.93s
> IMG_0003-00003 PSNR=25.808, SSIM=0.8445 pre_time:0.515s, forward_time:5.09s, post_time:2.28s, total_time:7.89s
> IMG_0003-00004 PSNR=24.875, SSIM=0.8192 pre_time:0.531s, forward_time:5.18s, post_time:2.26s, total_time:7.97s
> IMG_0003-00005 PSNR=24.187, SSIM=0.8051 pre_time:0.457s, forward_time:5.07s, post_time:2.39s, total_time:7.92s
> IMG_0003-00006 PSNR=24.391, SSIM=0.8167 pre_time:0.438s, forward_time:5.11s, post_time:2.29s, total_time:7.84s
> IMG_0003-00007 PSNR=25.28, SSIM=0.8435 pre_time:0.46s, forward_time:5.2s, post_time:2.37s, total_time:8.02s
> IMG_0003-00008 PSNR=25.804, SSIM=0.8542 pre_time:0.456s, forward_time:5.15s, post_time:2.42s, total_time:8.02s
> IMG_0003-00009 PSNR=26.196, SSIM=0.862 pre_time:0.479s, forward_time:5.08s, post_time:2.24s, total_time:7.79s
> IMG_0003-00010 PSNR=27.225, SSIM=0.8884 pre_time:0.447s, forward_time:5.12s, post_time:2.27s, total_time:7.84s
> IMG_0003-00011 PSNR=27.524, SSIM=0.8903 pre_time:0.479s, forward_time:5.14s, post_time:2.5s, total_time:8.12s
> IMG_0003-00012 PSNR=27.121, SSIM=0.8783 pre_time:0.449s, forward_time:5.18s, post_time:2.46s, total_time:8.09s
> IMG_0003-00013 PSNR=27.344, SSIM=0.8839 pre_time:0.436s, forward_time:5.23s, post_time:2.37s, total_time:8.04s
> IMG_0003-00014 PSNR=27.085, SSIM=0.8788 pre_time:0.468s, forward_time:5.15s, post_time:2.97s, total_time:8.59s
> IMG_0003-00015 PSNR=27.22, SSIM=0.8798 pre_time:0.541s, forward_time:5.63s, post_time:2.86s, total_time:9.04s
> IMG_0003-00016 PSNR=27.973, SSIM=0.8957 pre_time:0.525s, forward_time:5.69s, post_time:3.38s, total_time:9.6s
> IMG_0003-00017 PSNR=28.26, SSIM=0.9026 pre_time:0.535s, forward_time:5.63s, post_time:2.7s, total_time:8.86s
> IMG_0003-00018 PSNR=27.846, SSIM=0.8954 pre_time:0.549s, forward_time:5.67s, post_time:2.51s, total_time:8.73s
> IMG_0003-00019 PSNR=28.122, SSIM=0.8998 pre_time:0.42s, forward_time:5.16s, post_time:2.43s, total_time:8.01s
> IMG_0003-00020 PSNR=27.688, SSIM=0.8889 pre_time:0.452s, forward_time:5.23s, post_time:2.56s, total_time:8.25s
> IMG_0003-00021 PSNR=27.544, SSIM=0.8825 pre_time:0.523s, forward_time:5.33s, post_time:3.18s, total_time:9.03s
> IMG_0003-00022 PSNR=27.258, SSIM=0.8778 pre_time:0.859s, forward_time:5.89s, post_time:2.73s, total_time:9.49s
> IMG_0003-00023 PSNR=27.695, SSIM=0.8862 pre_time:0.511s, forward_time:5.44s, post_time:3.01s, total_time:8.97s
> IMG_0003-00024 PSNR=28.308, SSIM=0.9004 pre_time:0.538s, forward_time:5.27s, post_time:2.4s, total_time:8.21s
> IMG_0003-00025 PSNR=27.872, SSIM=0.8948 pre_time:0.405s, forward_time:5.17s, post_time:2.4s, total_time:7.97s
> IMG_0003-00026 PSNR=28.06, SSIM=0.8977 pre_time:0.47s, forward_time:5.77s, post_time:2.28s, total_time:8.52s
> IMG_0003-00027 PSNR=28.477, SSIM=0.9062 pre_time:0.488s, forward_time:5.09s, post_time:2.38s, total_time:7.96s
> IMG_0003-00028 PSNR=28.182, SSIM=0.9015 pre_time:0.473s, forward_time:5.17s, post_time:2.23s, total_time:7.88s
> IMG_0003-00029 PSNR=27.649, SSIM=0.8884 pre_time:0.454s, forward_time:5.11s, post_time:2.31s, total_time:7.88s
> IMG_0003-00030 PSNR=27.345, SSIM=0.8764 pre_time:0.408s, forward_time:5.16s, post_time:2.63s, total_time:8.21s
> IMG_0003-00031 PSNR=26.948, SSIM=0.8667 pre_time:0.774s, forward_time:5.31s, post_time:2.35s, total_time:8.43s
> IMG_0003-00032 PSNR=26.571, SSIM=0.8558 pre_time:0.487s, forward_time:6.04s, post_time:3.51s, total_time:10.0s
> IMG_0003-00033 PSNR=26.439, SSIM=0.8518 pre_time:0.56s, forward_time:5.43s, post_time:2.31s, total_time:8.31s
> IMG_0003-00034 PSNR=26.368, SSIM=0.8534 pre_time:0.433s, forward_time:5.24s, post_time:2.44s, total_time:8.11s
> IMG_0003-00035 PSNR=26.52, SSIM=0.8569 pre_time:0.458s, forward_time:5.12s, post_time:2.36s, total_time:7.94s
> IMG_0003-00036 PSNR=26.367, SSIM=0.8566 pre_time:0.539s, forward_time:5.21s, post_time:2.36s, total_time:8.12s
> IMG_0003-00037 PSNR=24.835, SSIM=0.8197 pre_time:0.491s, forward_time:5.16s, post_time:2.38s, total_time:8.04s
> IMG_0003-00038 PSNR=24.929, SSIM=0.8156 pre_time:0.488s, forward_time:5.16s, post_time:2.29s, total_time:7.93s
> IMG_0003-00039 PSNR=25.398, SSIM=0.84 pre_time:0.483s, forward_time:5.22s, post_time:2.26s, total_time:7.97s
> IMG_0003-00040 PSNR=27.492, SSIM=0.8927 pre_time:0.409s, forward_time:5.15s, post_time:2.33s, total_time:7.89s
> IMG_0003-00041 PSNR=28.231, SSIM=0.9059 pre_time:0.429s, forward_time:5.18s, post_time:2.33s, total_time:7.94s
> IMG_0003-00042 PSNR=28.851, SSIM=0.9107 pre_time:0.426s, forward_time:5.14s, post_time:2.31s, total_time:7.88s
> IMG_0003-00043 PSNR=28.933, SSIM=0.9113 pre_time:0.44s, forward_time:5.14s, post_time:2.37s, total_time:7.96s
> IMG_0003-00044 PSNR=28.614, SSIM=0.9114 pre_time:0.441s, forward_time:5.16s, post_time:2.32s, total_time:7.92s
> IMG_0003-00045 PSNR=28.77, SSIM=0.9125 pre_time:0.471s, forward_time:5.17s, post_time:2.29s, total_time:7.94s
> IMG_0003-00046 PSNR=28.414, SSIM=0.9096 pre_time:0.45s, forward_time:5.1s, post_time:2.36s, total_time:7.91s
> IMG_0003-00047 PSNR=28.623, SSIM=0.9129 pre_time:0.436s, forward_time:5.16s, post_time:2.84s, total_time:8.44s
> IMG_0003-00048 PSNR=28.724, SSIM=0.9099 pre_time:0.451s, forward_time:5.19s, post_time:2.29s, total_time:7.93s
> IMG_0003-00049 PSNR=28.705, SSIM=0.909 pre_time:0.437s, forward_time:5.14s, post_time:2.35s, total_time:7.93s
> IMG_0003-00050 PSNR=28.371, SSIM=0.9038 pre_time:0.424s, forward_time:5.21s, post_time:2.38s, total_time:8.01s
> IMG_0003-00051 PSNR=28.13, SSIM=0.8944 pre_time:0.443s, forward_time:5.19s, post_time:2.41s, total_time:8.04s
> IMG_0003-00052 PSNR=27.132, SSIM=0.8767 pre_time:0.433s, forward_time:5.13s, post_time:2.32s, total_time:7.89s
> IMG_0003-00053 PSNR=28.093, SSIM=0.897 pre_time:0.439s, forward_time:5.11s, post_time:2.3s, total_time:7.85s
> IMG_0003-00054 PSNR=28.448, SSIM=0.8993 pre_time:0.399s, forward_time:5.17s, post_time:2.48s, total_time:8.05s
> IMG_0003-00055 PSNR=27.342, SSIM=0.882 pre_time:0.447s, forward_time:5.16s, post_time:2.4s, total_time:8.0s
> IMG_0003-00056 PSNR=27.964, SSIM=0.8959 pre_time:0.481s, forward_time:5.13s, post_time:2.31s, total_time:7.92s
> IMG_0003-00057 PSNR=28.68, SSIM=0.9098 pre_time:0.458s, forward_time:5.15s, post_time:2.46s, total_time:8.06s
> IMG_0003-00058 PSNR=28.297, SSIM=0.9071 pre_time:0.437s, forward_time:5.29s, post_time:2.36s, total_time:8.09s
> IMG_0003-00059 PSNR=27.922, SSIM=0.8996 pre_time:0.421s, forward_time:5.18s, post_time:2.46s, total_time:8.06s
> IMG_0003-00060 PSNR=28.973, SSIM=0.917 pre_time:0.463s, forward_time:5.14s, post_time:2.55s, total_time:8.16s
> IMG_0003-00061 PSNR=28.323, SSIM=0.9127 pre_time:0.434s, forward_time:5.5s, post_time:2.61s, total_time:8.55s
> IMG_0003-00062 PSNR=27.465, SSIM=0.8958 pre_time:0.451s, forward_time:5.61s, post_time:2.79s, total_time:8.86s
> IMG_0003-00063 PSNR=27.532, SSIM=0.893 pre_time:0.534s, forward_time:5.58s, post_time:2.55s, total_time:8.66s
> IMG_0003-00064 PSNR=27.627, SSIM=0.8957 pre_time:0.485s, forward_time:5.34s, post_time:2.55s, total_time:8.38s
> IMG_0003-00065 PSNR=26.614, SSIM=0.8749 pre_time:0.461s, forward_time:5.28s, post_time:2.72s, total_time:8.46s
> IMG_0003-00066 PSNR=25.965, SSIM=0.8588 pre_time:0.494s, forward_time:5.56s, post_time:3.11s, total_time:9.17s
> IMG_0003-00067 PSNR=26.367, SSIM=0.8641 pre_time:0.66s, forward_time:5.74s, post_time:2.65s, total_time:9.05s
> IMG_0003-00068 PSNR=26.772, SSIM=0.877 pre_time:0.466s, forward_time:5.52s, post_time:2.7s, total_time:8.69s
> IMG_0003-00069 PSNR=27.295, SSIM=0.887 pre_time:0.468s, forward_time:5.52s, post_time:2.56s, total_time:8.55s
> IMG_0003-00070 PSNR=28.255, SSIM=0.9048 pre_time:0.442s, forward_time:5.5s, post_time:2.75s, total_time:8.7s
> IMG_0003-00071 PSNR=28.733, SSIM=0.9109 pre_time:0.516s, forward_time:5.63s, post_time:2.59s, total_time:8.74s
> IMG_0003-00072 PSNR=28.49, SSIM=0.9102 pre_time:0.445s, forward_time:5.56s, post_time:2.58s, total_time:8.59s
> IMG_0003-00073 PSNR=28.713, SSIM=0.9165 pre_time:0.472s, forward_time:5.5s, post_time:2.6s, total_time:8.58s
> IMG_0003-00074 PSNR=28.64, SSIM=0.9135 pre_time:0.463s, forward_time:5.28s, post_time:2.31s, total_time:8.05s
> IMG_0003-00075 PSNR=28.913, SSIM=0.9168 pre_time:0.426s, forward_time:5.29s, post_time:2.55s, total_time:8.27s
> IMG_0003-00076 PSNR=29.056, SSIM=0.9176 pre_time:0.448s, forward_time:5.28s, post_time:2.31s, total_time:8.04s
> IMG_0003-00077 PSNR=27.569, SSIM=0.89 pre_time:0.447s, forward_time:5.13s, post_time:2.49s, total_time:8.06s
