Inference - 2021-07-09 19:15:28
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_OCLR_S3
n_seq: 3
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
> 720p_240fps_2-00055 PSNR=29.644, SSIM=0.866 pre_time:0.137s, forward_time:0.255s, post_time:2.0s, total_time:2.39s
> 720p_240fps_2-00056 PSNR=28.75, SSIM=0.8715 pre_time:0.139s, forward_time:0.26s, post_time:2.04s, total_time:2.44s
> 720p_240fps_2-00057 PSNR=29.649, SSIM=0.8822 pre_time:0.159s, forward_time:0.28s, post_time:1.96s, total_time:2.4s
> 720p_240fps_2-00058 PSNR=31.964, SSIM=0.9046 pre_time:0.158s, forward_time:0.267s, post_time:2.03s, total_time:2.46s
> 720p_240fps_2-00059 PSNR=31.111, SSIM=0.8985 pre_time:0.141s, forward_time:0.275s, post_time:2.04s, total_time:2.46s
> 720p_240fps_2-00060 PSNR=31.29, SSIM=0.903 pre_time:0.151s, forward_time:0.27s, post_time:2.01s, total_time:2.43s
> 720p_240fps_2-00061 PSNR=29.778, SSIM=0.8678 pre_time:0.146s, forward_time:0.27s, post_time:2.03s, total_time:2.44s
> 720p_240fps_2-00062 PSNR=30.782, SSIM=0.8892 pre_time:0.135s, forward_time:0.282s, post_time:1.98s, total_time:2.39s
> 720p_240fps_2-00063 PSNR=30.962, SSIM=0.8938 pre_time:0.15s, forward_time:0.271s, post_time:2.08s, total_time:2.51s
> 720p_240fps_2-00064 PSNR=29.621, SSIM=0.8724 pre_time:0.141s, forward_time:0.274s, post_time:2.03s, total_time:2.45s
> 720p_240fps_2-00065 PSNR=31.016, SSIM=0.8958 pre_time:0.151s, forward_time:0.277s, post_time:2.03s, total_time:2.46s
> 720p_240fps_2-00066 PSNR=30.853, SSIM=0.9075 pre_time:0.158s, forward_time:0.263s, post_time:2.07s, total_time:2.49s
> 720p_240fps_2-00067 PSNR=31.907, SSIM=0.9161 pre_time:0.152s, forward_time:0.284s, post_time:2.05s, total_time:2.49s
> 720p_240fps_2-00068 PSNR=31.66, SSIM=0.9075 pre_time:0.158s, forward_time:0.271s, post_time:2.02s, total_time:2.45s
> 720p_240fps_2-00069 PSNR=30.482, SSIM=0.8843 pre_time:0.17s, forward_time:0.278s, post_time:2.09s, total_time:2.53s
> 720p_240fps_2-00070 PSNR=25.281, SSIM=0.7321 pre_time:0.175s, forward_time:0.276s, post_time:2.06s, total_time:2.51s
> 720p_240fps_2-00071 PSNR=25.277, SSIM=0.7188 pre_time:0.147s, forward_time:0.276s, post_time:2.02s, total_time:2.45s
> 720p_240fps_2-00072 PSNR=26.524, SSIM=0.7771 pre_time:0.143s, forward_time:0.301s, post_time:2.05s, total_time:2.49s
> 720p_240fps_2-00073 PSNR=27.674, SSIM=0.8003 pre_time:0.159s, forward_time:0.278s, post_time:2.09s, total_time:2.53s
> 720p_240fps_2-00074 PSNR=28.594, SSIM=0.8263 pre_time:0.152s, forward_time:0.277s, post_time:2.04s, total_time:2.47s
> 720p_240fps_2-00075 PSNR=29.046, SSIM=0.8413 pre_time:0.165s, forward_time:0.276s, post_time:2.01s, total_time:2.46s
> 720p_240fps_2-00076 PSNR=27.521, SSIM=0.8097 pre_time:0.135s, forward_time:0.271s, post_time:2.02s, total_time:2.42s
> 720p_240fps_2-00077 PSNR=29.361, SSIM=0.8447 pre_time:0.145s, forward_time:0.279s, post_time:2.06s, total_time:2.49s
> 720p_240fps_2-00078 PSNR=30.088, SSIM=0.8719 pre_time:0.148s, forward_time:0.282s, post_time:2.03s, total_time:2.46s
> 720p_240fps_2-00079 PSNR=28.692, SSIM=0.8447 pre_time:0.148s, forward_time:0.277s, post_time:2.06s, total_time:2.48s
> 720p_240fps_2-00080 PSNR=31.233, SSIM=0.8985 pre_time:0.154s, forward_time:0.274s, post_time:2.04s, total_time:2.47s
> 720p_240fps_2-00081 PSNR=28.683, SSIM=0.8599 pre_time:0.144s, forward_time:0.292s, post_time:2.06s, total_time:2.5s
> 720p_240fps_2-00082 PSNR=29.533, SSIM=0.8685 pre_time:0.156s, forward_time:0.269s, post_time:2.04s, total_time:2.46s
> 720p_240fps_2-00083 PSNR=30.721, SSIM=0.8913 pre_time:0.154s, forward_time:0.283s, post_time:2.1s, total_time:2.53s
> 720p_240fps_2-00084 PSNR=30.633, SSIM=0.8982 pre_time:0.146s, forward_time:0.286s, post_time:2.1s, total_time:2.53s
> 720p_240fps_2-00085 PSNR=29.197, SSIM=0.8775 pre_time:0.144s, forward_time:0.28s, post_time:2.03s, total_time:2.45s
> 720p_240fps_2-00086 PSNR=30.576, SSIM=0.9038 pre_time:0.159s, forward_time:0.277s, post_time:2.03s, total_time:2.47s
> 720p_240fps_2-00087 PSNR=29.046, SSIM=0.8712 pre_time:0.148s, forward_time:0.277s, post_time:2.06s, total_time:2.48s
> 720p_240fps_2-00088 PSNR=27.561, SSIM=0.8154 pre_time:0.142s, forward_time:0.284s, post_time:2.06s, total_time:2.48s
> 720p_240fps_2-00089 PSNR=32.312, SSIM=0.9144 pre_time:0.153s, forward_time:0.279s, post_time:2.08s, total_time:2.51s
> 720p_240fps_2-00090 PSNR=32.352, SSIM=0.9168 pre_time:0.145s, forward_time:0.284s, post_time:2.1s, total_time:2.53s
> 720p_240fps_2-00091 PSNR=28.784, SSIM=0.86 pre_time:0.149s, forward_time:0.278s, post_time:2.02s, total_time:2.44s
> 720p_240fps_2-00092 PSNR=29.977, SSIM=0.8809 pre_time:0.153s, forward_time:0.257s, post_time:2.06s, total_time:2.47s
> 720p_240fps_2-00093 PSNR=31.412, SSIM=0.9091 pre_time:0.151s, forward_time:0.273s, post_time:2.08s, total_time:2.51s
> 720p_240fps_2-00094 PSNR=32.417, SSIM=0.9244 pre_time:0.156s, forward_time:0.282s, post_time:2.02s, total_time:2.46s
> 720p_240fps_2-00095 PSNR=32.53, SSIM=0.9212 pre_time:0.142s, forward_time:0.26s, post_time:2.04s, total_time:2.45s
> 720p_240fps_2-00096 PSNR=30.9, SSIM=0.8857 pre_time:0.16s, forward_time:0.287s, post_time:2.08s, total_time:2.52s
> 720p_240fps_2-00097 PSNR=30.202, SSIM=0.8766 pre_time:0.156s, forward_time:0.273s, post_time:2.04s, total_time:2.47s
> 720p_240fps_2-00098 PSNR=31.832, SSIM=0.9134 pre_time:0.154s, forward_time:0.271s, post_time:2.11s, total_time:2.53s
> IMG_0003-00001 PSNR=26.938, SSIM=0.8721 pre_time:0.155s, forward_time:0.282s, post_time:2.18s, total_time:2.61s
> IMG_0003-00002 PSNR=26.487, SSIM=0.8663 pre_time:0.145s, forward_time:0.269s, post_time:2.09s, total_time:2.5s
> IMG_0003-00003 PSNR=25.259, SSIM=0.8276 pre_time:0.16s, forward_time:0.28s, post_time:2.06s, total_time:2.5s
> IMG_0003-00004 PSNR=24.354, SSIM=0.8005 pre_time:0.149s, forward_time:0.267s, post_time:2.05s, total_time:2.46s
> IMG_0003-00005 PSNR=23.924, SSIM=0.7912 pre_time:0.14s, forward_time:0.277s, post_time:2.1s, total_time:2.51s
> IMG_0003-00006 PSNR=24.242, SSIM=0.8082 pre_time:0.155s, forward_time:0.278s, post_time:2.0s, total_time:2.43s
> IMG_0003-00007 PSNR=24.58, SSIM=0.8212 pre_time:0.136s, forward_time:0.284s, post_time:2.07s, total_time:2.49s
> IMG_0003-00008 PSNR=25.323, SSIM=0.8389 pre_time:0.158s, forward_time:0.278s, post_time:2.13s, total_time:2.56s
> IMG_0003-00009 PSNR=25.968, SSIM=0.8545 pre_time:0.14s, forward_time:0.272s, post_time:2.08s, total_time:2.5s
> IMG_0003-00010 PSNR=26.714, SSIM=0.8793 pre_time:0.145s, forward_time:0.272s, post_time:2.07s, total_time:2.49s
> IMG_0003-00011 PSNR=27.364, SSIM=0.8876 pre_time:0.153s, forward_time:0.272s, post_time:2.13s, total_time:2.56s
> IMG_0003-00012 PSNR=26.867, SSIM=0.8707 pre_time:0.168s, forward_time:0.286s, post_time:2.16s, total_time:2.61s
> IMG_0003-00013 PSNR=26.898, SSIM=0.8717 pre_time:0.144s, forward_time:0.281s, post_time:2.14s, total_time:2.57s
> IMG_0003-00014 PSNR=26.786, SSIM=0.8671 pre_time:0.177s, forward_time:0.284s, post_time:2.09s, total_time:2.55s
> IMG_0003-00015 PSNR=26.956, SSIM=0.8693 pre_time:0.158s, forward_time:0.277s, post_time:2.08s, total_time:2.51s
> IMG_0003-00016 PSNR=27.504, SSIM=0.8878 pre_time:0.16s, forward_time:0.291s, post_time:2.07s, total_time:2.52s
> IMG_0003-00017 PSNR=28.236, SSIM=0.9025 pre_time:0.153s, forward_time:0.276s, post_time:2.05s, total_time:2.48s
> IMG_0003-00018 PSNR=27.741, SSIM=0.8948 pre_time:0.146s, forward_time:0.267s, post_time:2.03s, total_time:2.44s
> IMG_0003-00019 PSNR=27.552, SSIM=0.8904 pre_time:0.174s, forward_time:0.278s, post_time:2.07s, total_time:2.53s
> IMG_0003-00020 PSNR=27.345, SSIM=0.8818 pre_time:0.159s, forward_time:0.271s, post_time:2.09s, total_time:2.52s
> IMG_0003-00021 PSNR=26.973, SSIM=0.8686 pre_time:0.171s, forward_time:0.278s, post_time:2.11s, total_time:2.56s
> IMG_0003-00022 PSNR=26.57, SSIM=0.8546 pre_time:0.142s, forward_time:0.295s, post_time:2.05s, total_time:2.49s
> IMG_0003-00023 PSNR=27.2, SSIM=0.8708 pre_time:0.162s, forward_time:0.273s, post_time:2.08s, total_time:2.51s
> IMG_0003-00024 PSNR=27.975, SSIM=0.8942 pre_time:0.163s, forward_time:0.276s, post_time:2.04s, total_time:2.48s
> IMG_0003-00025 PSNR=27.341, SSIM=0.8831 pre_time:0.14s, forward_time:0.28s, post_time:2.03s, total_time:2.45s
> IMG_0003-00026 PSNR=27.73, SSIM=0.8899 pre_time:0.146s, forward_time:0.272s, post_time:2.08s, total_time:2.5s
> IMG_0003-00027 PSNR=28.308, SSIM=0.9038 pre_time:0.161s, forward_time:0.274s, post_time:2.02s, total_time:2.46s
> IMG_0003-00028 PSNR=27.864, SSIM=0.8965 pre_time:0.149s, forward_time:0.285s, post_time:2.06s, total_time:2.5s
> IMG_0003-00029 PSNR=27.151, SSIM=0.8785 pre_time:0.143s, forward_time:0.281s, post_time:2.06s, total_time:2.49s
> IMG_0003-00030 PSNR=26.784, SSIM=0.8633 pre_time:0.161s, forward_time:0.278s, post_time:2.02s, total_time:2.46s
